Governança;;;Escala;;Margem;;Eficiência;;Retorno;;;Dívida
Ticker;Empresa;Segmento de listagem;Patrim Liq; Liquidez média diária;Margem EBIT;Margem Líquida;ROIC;ROE;Div. Yield;CAGR do lucro em 5 anos;Soma Div. + CAGR;Dívida Líquida/EBIT
OIBR4;Oi;N1;5982,22;32,0818;-0,0858;-0,7724;-0,026;-2,439;0;0;0;-25,38
MMXM3;MMX Miner;NM;-833,755;10,296;-22,832;-448,133;-0,0763;0,1373;0;0;0;-24,23
IGBR3;IGB S/A;0;-923,772;2,7723;0;0;0;0;0;0;0;-23,32
OSXB3;OSX Brasil;NM;-4819,7;5,15106;-0,7182;-48,2121;-0,0043;0,1024;0;0;0;-22,67
MTRE3;Mitre;0;994,221;6,72845;0,1102;0,0839;0,0812;0,0315;0;0;0;-20,13
RNEW11;Renova;N2;-1351,09;2,56455;-0,7444;-7,728;-0,024;0,3421;0;0;0;-18,59
RNEW3;;;-1351,09;0,520378;-0,7444;-7,728;-0,024;0,3421;0;0;0;-18,59
RNEW4;;;-1351,09;0,644055;-0,7444;-7,728;-0,024;0,3421;0;0;0;-18,59
CEDO3;;;126,789;0,136349;0,0326;-0,1077;0,0347;-0,4611;0;0;0;-16,06
CEDO4;;;126,789;0,169416;0,0326;-0,1077;0,0347;-0,4611;0;0;0;-16,06
BTOW3;B2W Digital;NM;9535,27;383,149;0,0332;-0,0192;0,0392;-0,0184;0;0;0;-15,33
JBDU3;;;67,349;0,0788542;0;0;-0,0019;-0,0144;0;0;0;-12,67
JBDU4;J B Duarte;0;67,349;0,170732;0;0;-0,0019;-0,0144;0;0;0;-12,67
PLAS3;;;-172,283;0,0961877;-0,1989;0,0566;-0,1316;-0,1148;0;0;0;-11,17
MTIG4;;;27,8192;0,00907613;-0,0617;0,0969;-0,0594;0,4251;0;0;0;-10,89
MWET4;;;-224,643;0,113468;-0,0486;-0,1823;-0,0476;0,1167;0;0;0;-10,28
PMAM3;Paranapanema;NM;-357,442;4,60123;-0,0255;-0,3106;-0,0306;3,4735;0;0;0;-9,61
TELB3;;;1591,55;0,417429;-1,0409;0,11;-0,0818;0,0179;0;0;0;-9,12
TELB4;Telebras;0;1591,55;1,19152;-1,0409;0,11;-0,0818;0,0179;0;0;0;-9,12
BRKM5;Braskem;N1;-4464,67;101,822;0,0679;-0,2138;0,0577;2,4401;0;0;0;-6,28
BRKM3;Braskem;N1;-4464,67;0,444121;0,0679;-0,2138;0,0577;2,4401;0;0;0;-6,28
BRKM6;;;-4464,67;0,00515805;0,0679;-0,2138;0,0577;2,4401;0;0;0;-6,28
RSID3;Rossi Resid;NM;-729,329;1,01851;-1,3312;-3,0391;-0,0442;0,2162;0;0;0;-5,91
EMBR3;Embraer;NM;15797,8;146,19;-0,0073;-0,3476;-0,0021;-0,2833;0;0;0;-5,52
LPSB3;Lopes Brasil;NM;165,557;5,02713;0,2088;-0,0214;0,1433;-0,0893;0;0;0;-4,86
AZUL4;Azul S.A.;0;-13866,4;438,223;-0,4857;-1,7834;-0,3732;0,9339;0;0;0;-4,75
AMAR3;Lojas Marisa;NM;1025,06;27,6323;0,0379;-0,2105;0,0352;-0,4013;0;0;0;-4,12
PDGR3;PDG Realt;NM;-5388,62;0,184034;-0,38;-3,9526;-0,0515;0,1508;0;0;0;-3,86
GFSA3;Gafisa;NM;1509,62;23,7716;0,0394;-0,1422;0,0062;-0,0387;0;0;0;-3,17
LIPR3;Eletropar;0;199,744;0,00339056;0;0;0,1272;0,1633;0;0;0;-2,96
RCSL4;Recrusul;0;-67,323;13,8753;0,0279;-0,0963;0,017;0,0333;0;0;0;-2,82
BIOM3;Biomm;MA;108,621;0,628192;-0,9908;-1,3284;-0,1551;-0,537;0;0;0;-2,63
INEP3;;;-2170,94;0,64864;-40,1928;-56,74;-0,2314;0,1963;0;0;0;-2,38
INEP4;Inepar;0;-2170,94;0,806151;-40,1928;-56,74;-0,2314;0,1963;0;0;0;-2,38
LUPA3;Lupatech;NM;40,642;1,23322;3,6337;12,8108;-0,0769;-3,2635;0;0;0;-2,32
SNSY5;;;-1331,34;0,406225;-0,1274;-0,3099;-0,1845;0,1075;0;0;0;-1,78
MDNE3;;;1001,88;3,14062;0,0823;-0,3437;0,0169;-0,1386;0;0;0;-1,72
CALI4;;;0,784;0,00048995;-0,7476;-0,5146;-0,1322;-10,6276;0;0;0;-1,71
CEED4;;;-5305,96;0,0116986;-0,1026;-0,4449;-0,112;0,2867;0;0;0;-1,63
